"Table 6a: Quarterly concrete roofing tiles (thousand square metres) and ready-mixed concrete (thousand cubic metres), Great Britain [notes 1, 2]",,,,,,,,,,,,,
This worksheet contains one table. Some cells refer to notes which can be found in the notes worksheet. ,,,,,,,,,,,,,
"Freeze panes are turned on. To turn off, select the 'View' ribbon, then 'Freeze panes', then 'Unfreeze panes': or use [Alt,W,F]",,,,,,,,,,,,,
Source: DBT for roofing tiles data and Mineral Products Association for ready-mixed concrete data,,,,,,,,,,,,,
Year,Quarter,Concrete roofing tiles production,Concrete roofing tiles deliveries,Concrete roofing tiles stocks,Ready-mixed concrete deliveries,"Seasonally adjusted ready-mixed concrete deliveries [note 3, 4]",,,,,,,
2012,Q1,"4,673","3,928","3,872","3,463","3,596",,,,,,,
2012,Q2,"4,236","4,100","4,008","3,399","3,318",,,,,,,
2012,Q3,"4,095","5,004","3,136","3,556","3,353",,,,,,,
2012,Q4,"4,471","4,547","3,061","3,340","3,491",,,,,,,
2013,Q1,"4,514","4,055","3,520","3,325","3,661",,,,,,,
2013,Q2,"4,209","4,598","3,131","4,108","3,829",,,,,,,
2013,Q3,"4,550","5,468","2,214","3,972","3,761",,,,,,,
2013,Q4,"5,471","5,459","2,214","3,684","3,839",,,,,,,
2014,Q1,"6,151","5,414","2,932","3,475","3,612",,,,,,,
2014,Q2,"6,195","5,491","3,687","3,977","3,906",,,,,,,
2014,Q3,"5,815","6,238","3,261","4,183","3,961",,,,,,,
2014,Q4,"5,925","5,915","3,275","3,713","3,869",,,,,,,
2015,Q1,"6,547","5,400","4,422","4,035","4,186",,,,,,,
2015,Q2,"6,296","5,843","4,875","3,992","3,920",,,,,,,
2015,Q3,"5,697","6,420","4,152","4,225","3,987",,,,,,,
2015,Q4,"6,565","6,812","3,904","4,042","4,201",,,,,,,
2016,Q1,"6,323","5,837","4,391","4,045","4,418",,,,,,,
2016,Q2,"6,082","6,292","4,185","4,662","4,383",,,,,,,
2016,Q3,"5,857","6,912","3,129","4,739","4,490",,,,,,,
2016,Q4,"6,352","6,792","2,689","4,223","4,378",,,,,,,
2017,Q1,"7,050","6,772","2,968","4,217","4,405",,,,,,,
2017,Q2,"6,754","6,862","2,860","4,461","4,378",,,,,,,
2017,Q3,"6,546","6,665","2,740","4,517","4,262",,,,,,,
2017,Q4,"5,761","5,442","2,492","4,013","4,163",,,,,,,
2018,Q1,"7,817","5,742","5,143","3,652","4,064",,,,,,,
2018,Q2,"4,828","6,221","4,444","4,546","4,234",,,,,,,
2018,Q3,"6,884","7,280","5,367","4,616","4,375",,,,,,,
